RT,Taste,Category
0.764174700016156,right,unfamous
0.737341100000776,right,unfamous
0.662947400007397,right,unfamous
0.587667699990561,left,famous
0.943377299990971,right,famous
0.854477400018368,left,famous
2.21604869997827,left,famous
0.894973599992227,right,unfamous
0.890648700005841,left,famous
0.771296999999322,left,famous
0.802245300001232,left,famous
1.00881719999597,right,unfamous
0.954232599993702,right,unfamous
0.841498099995079,right,unfamous
0.457174600014696,left,famous
0.500062300008722,left,famous
0.54512560000876,left,famous
0.512491600005887,right,unfamous
0.54835239998647,left,famous
0.610728599975118,right,unfamous
1.16825220000464,right,unfamous
0.81052830000408,left,famous
0.782664300000761,left,famous
0.74435180000728,right,unfamous
0.823968300013803,right,unfamous
0.625791700003901,left,famous
1.0425622999901,left,famous
1.30825380000169,left,famous
1.79897949998849,left,unfamous
0.693664999998873,left,famous
0.773890300013591,right,unfamous
0.684736399998656,left,famous
1.00998729999992,left,unfamous
0.795289600006072,right,unfamous
0.587336799973855,left,famous
0.654242899996461,left,unfamous
1.01059449999593,right,unfamous
0.82559819999733,right,unfamous
0.742007099994225,right,unfamous
0.669233099994017,right,unfamous
0.874507400003495,left,famous
1.20455220001168,left,famous
0.633421400008956,left,famous
0.586102500004927,left,famous
0.71129419998033,right,unfamous
0.654708899994148,left,famous
0.740504499990493,right,unfamous
0.914736700011417,left,famous
0.786295800004154,right,unfamous
0.778250699979253,right,unfamous
