RT,Taste,Category
1.70743829998537,right,unfamous
0.510860199981835,left,famous
0.823096799984341,right,unfamous
0.509990200022003,left,famous
0.683044800010975,left,famous
0.66108359998907,left,famous
0.651580399979139,right,unfamous
0.682226500008255,right,unfamous
0.445921099977568,left,famous
0.956947400001809,left,famous
0.651492900011363,right,unfamous
0.592811200011056,left,famous
0.630174299993087,left,famous
0.885699899983592,right,unfamous
0.665819599991664,right,unfamous
0.924789900018368,right,unfamous
0.562636999995448,left,famous
0.5502047999762,left,famous
0.508354799996596,left,famous
0.725118000002112,left,famous
0.592272599984426,right,unfamous
1.11521269998048,right,unfamous
1.0141588000115,right,unfamous
0.563997199991718,left,famous
0.889551799977198,left,famous
0.483415800001239,left,famous
0.561622800014447,left,famous
0.753257300006226,right,unfamous
0.820712699991418,left,famous
0.579117499990389,left,famous
0.611483699991368,left,famous
0.935561599995708,right,unfamous
0.688606600015191,left,famous
0.602291699993657,left,famous
0.722129000001587,right,unfamous
1.17633429999114,right,unfamous
0.731021700019483,left,famous
0.643071599974064,left,famous
0.66860559998895,right,unfamous
0.755139999993844,right,unfamous
0.658061599999201,right,unfamous
1.01805489999242,right,unfamous
1.0005114999949,right,unfamous
1.03705519999494,right,unfamous
0.566850400005933,left,famous
0.596283899998525,right,unfamous
0.768381000001682,right,unfamous
0.901470299984794,right,unfamous
0.652386600006139,left,famous
0.823842400015565,right,unfamous
