RT,Taste,Category
0.80424219998531,left,famous
0.76260500002536,right,unfamous
0.802241400000639,left,famous
0.811081899999408,left,famous
0.758972399984486,right,unfamous
0.880372799991164,right,unfamous
0.731429099978413,right,unfamous
0.80026839999482,left,famous
0.944002100004582,left,famous
0.679917500005104,right,unfamous
0.681791400013026,right,unfamous
0.669507000013255,right,unfamous
0.933357000001706,left,famous
0.832219500007341,right,unfamous
0.833193800004665,right,unfamous
0.947523899987573,right,unfamous
0.892079000012018,right,unfamous
0.860653999989154,right,unfamous
0.77579980000155,left,famous
0.960051999980351,right,unfamous
0.918966099998215,left,famous
1.11841659998754,right,unfamous
0.796942500019213,left,famous
0.955183799989754,right,unfamous
0.820221200003289,left,famous
0.893302399985259,right,unfamous
0.95599809999112,left,famous
1.1092234000098,left,famous
0.718297199986409,right,unfamous
1.04206979999435,left,famous
0.84939350001514,left,famous
0.758177400013665,right,unfamous
0.850024200015469,right,unfamous
0.77227459999267,left,famous
0.866975299984915,left,famous
1.34436320001259,right,unfamous
0.80945289999363,left,famous
0.802896800014423,right,unfamous
0.936195899994345,left,famous
0.823994200007292,left,famous
0.823103600007016,right,unfamous
0.791793799988227,left,famous
0.800897200009786,right,unfamous
0.636207200004719,left,famous
0.781304899981478,left,famous
0.82621410000138,left,famous
0.831325699982699,left,famous
0.992995099979453,right,unfamous
0.900724400009494,left,famous
0.772507899993798,right,unfamous
