RT,Taste,Category
1.30294569999387,left,unfamous
1.96459939998749,left,famous
0.878014700007043,right,unfamous
0.585474899999099,left,famous
0.860928699999931,left,famous
0.520502400002442,left,famous
1.0903479999979,right,famous
0.774300299992319,right,unfamous
0.73695529998804,right,unfamous
0.717198199999984,left,famous
0.716339699996752,right,unfamous
0.732437200000277,left,famous
0.602879900005064,right,unfamous
0.898544600000605,right,famous
0.579430700003286,left,famous
0.635769400003483,right,famous
0.464490099999239,right,unfamous
0.633930700001656,left,famous
0.763570399998571,right,unfamous
0.767903700005263,right,unfamous
0.674556600002688,right,unfamous
0.653756200001226,left,famous
0.453717800002778,right,famous
0.77361980000569,right,unfamous
1.15893859999778,right,unfamous
0.630732700010412,right,unfamous
0.693109899992123,left,famous
0.64246849999472,right,unfamous
0.749747199995909,left,famous
0.548405199995614,left,famous
0.61687399999937,right,unfamous
1.0416125000047,right,famous
0.732040600007167,right,unfamous
0.729046100008418,left,famous
0.662838000003831,right,unfamous
0.787016000002041,right,unfamous
0.652080400002887,left,famous
0.694691299999249,left,famous
0.550746299995808,left,famous
0.751155299993115,right,unfamous
0.72692279999319,right,unfamous
0.698812200003886,left,famous
0.826006900009816,right,unfamous
0.854118700008257,right,unfamous
0.600330400004168,right,unfamous
0.593941699989955,right,unfamous
0.689880200006883,left,famous
0.626258799995412,left,famous
0.845418099997914,left,famous
0.915374999996857,right,unfamous
